"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"DK","T","Y92","2011","5700","",""
"DK","T","Y93","2011","4388","",""
"DK","T","Y94","2011","3503","",""
"DK","T","Y95","2011","2487","",""
"DK","T","Y96","2011","1958","",""
"DK","T","Y97","2011","1264","",""
"DK","T","Y98","2011","990","",""
"DK","T","Y99","2011","601","",""
"DK","T","Y_GE100","2011","900","",""
"DK","T","Y_LT1","2011","63739","",""
"ES","T","Y1","2011","482720","",""
"ES","T","Y10","2011","452050","",""
"ES","T","Y11","2011","458980","",""
"ES","T","Y12","2011","434825","",""
"ES","T","Y13","2011","424870","",""
"ES","T","Y14","2011","429035","",""
"ES","T","Y15","2011","424135","",""
"ES","T","Y16","2011","430115","",""
"ES","T","Y17","2011","434090","",""
"ES","T","Y18","2011","456850","",""
"ES","T","Y19","2011","457845","",""
"ES","T","Y2","2011","505325","",""
"ES","T","Y20","2011","496540","",""
"ES","T","Y21","2011","504780","",""
"ES","T","Y22","2011","503435","",""
"ES","T","Y23","2011","504220","",""
"ES","T","Y24","2011","510025","",""
"ES","T","Y25","2011","564665","",""
"ES","T","Y26","2011","587450","",""
"ES","T","Y27","2011","609060","",""
"ES","T","Y28","2011","638665","",""
"ES","T","Y29","2011","684365","",""
"ES","T","Y3","2011","515565","",""
"ES","T","Y30","2011","702105","",""
"ES","T","Y31","2011","756415","",""
"ES","T","Y32","2011","776340","",""
"ES","T","Y33","2011","813210","",""
"ES","T","Y34","2011","843740","",""
"ES","T","Y35","2011","821850","",""
"ES","T","Y36","2011","830445","",""
"ES","T","Y37","2011","821435","",""
"ES","T","Y38","2011","804715","",""
"ES","T","Y39","2011","812865","",""
"ES","T","Y4","2011","498555","",""
"ES","T","Y40","2011","774260","",""
"ES","T","Y41","2011","771525","",""
"ES","T","Y42","2011","757840","",""
"ES","T","Y43","2011","765105","",""
"ES","T","Y44","2011","770665","",""
"ES","T","Y45","2011","721040","",""
"ES","T","Y46","2011","733325","",""
"ES","T","Y47","2011","737300","",""
"ES","T","Y48","2011","713850","",""
"ES","T","Y49","2011","702040","",""
"ES","T","Y5","2011","497970","",""
"ES","T","Y50","2011","651140","",""
"ES","T","Y51","2011","667150","",""
"ES","T","Y52","2011","655615","",""
"ES","T","Y53","2011","630220","",""
"ES","T","Y54","2011","618105","",""
"ES","T","Y55","2011","571595","",""
"ES","T","Y56","2011","552580","",""
"ES","T","Y57","2011","538725","",""
"ES","T","Y58","2011","527075","",""
"ES","T","Y59","2011","518430","",""
"ES","T","Y6","2011","491190","",""
"ES","T","Y60","2011","492230","",""
"ES","T","Y61","2011","487720","",""
"ES","T","Y62","2011","502445","",""
"ES","T","Y63","2011","513430","",""
"ES","T","Y64","2011","468085","",""
"ES","T","Y65","2011","455220","",""
"ES","T","Y66","2011","472025","",""
"ES","T","Y67","2011","451890","",""
"ES","T","Y68","2011","430665","",""
"ES","T","Y69","2011","366925","",""
"ES","T","Y7","2011","476930","",""
"ES","T","Y70","2011","362040","",""
"ES","T","Y71","2011","416460","",""
"ES","T","Y72","2011","282225","",""
"ES","T","Y73","2011","311825","",""
"ES","T","Y74","2011","352190","",""
"ES","T","Y75","2011","396135","",""
"ES","T","Y76","2011","363745","",""
"ES","T","Y77","2011","355720","",""
"ES","T","Y78","2011","357540","",""
"ES","T","Y79","2011","339505","",""
"ES","T","Y8","2011","470080","",""
"ES","T","Y80","2011","311090","",""
"ES","T","Y81","2011","293525","",""
"ES","T","Y82","2011","262775","",""
"ES","T","Y83","2011","237575","",""
"ES","T","Y84","2011","213240","",""
"ES","T","Y85","2011","190735","",""
"ES","T","Y86","2011","167730","",""
"ES","T","Y87","2011","147785","",""
"ES","T","Y88","2011","126815","",""
"ES","T","Y89","2011","108225","",""
"ES","T","Y9","2011","452430","",""
"ES","T","Y90","2011","84510","",""
"ES","T","Y91","2011","67820","",""
"ES","T","Y92","2011","47940","",""
"ES","T","Y93","2011","37630","",""
"ES","T","Y94","2011","28915","",""
"ES","T","Y95","2011","22650","",""
"ES","T","Y96","2011","18045","",""
"ES","T","Y97","2011","12935","",""
"ES","T","Y98","2011","8935","",""
"ES","T","Y99","2011","4645","",""
"ES","T","Y_GE100","2011","8180","",""
"ES","T","Y_LT1","2011","478730","",""
"FI","T","Y1","2011","60793","",""
"FI","T","Y10","2011","57897","",""
"FI","T","Y11","2011","58647","",""
"FI","T","Y12","2011","58007","",""
"FI","T","Y13","2011","60345","",""
"FI","T","Y14","2011","61813","",""
"FI","T","Y15","2011","64212","",""
"FI","T","Y16","2011","66246","",""
"FI","T","Y17","2011","66161","",""
"FI","T","Y18","2011","68295","",""
"FI","T","Y19","2011","67170","",""
"FI","T","Y2","2011","60205","",""
"FI","T","Y20","2011","67750","",""
"FI","T","Y21","2011","65918","",""
"FI","T","Y22","2011","66347","",""
"FI","T","Y23","2011","63334","",""
"FI","T","Y24","2011","64431","",""
"FI","T","Y25","2011","66802","",""
"FI","T","Y26","2011","69398","",""
"FI","T","Y27","2011","71202","",""
"FI","T","Y28","2011","70718","",""
"FI","T","Y29","2011","67943","",""
"FI","T","Y3","2011","59571","",""
"FI","T","Y30","2011","67435","",""
"FI","T","Y31","2011","67216","",""
"FI","T","Y32","2011","67468","",""
"FI","T","Y33","2011","68422","",""
"FI","T","Y34","2011","68736","",""
"FI","T","Y35","2011","67397","",""
"FI","T","Y36","2011","64401","",""
"FI","T","Y37","2011","58602","",""
"FI","T","Y38","2011","60720","",""
"FI","T","Y39","2011","62797","",""
"FI","T","Y4","2011","59926","",""
"FI","T","Y40","2011","65022","",""
"FI","T","Y41","2011","66323","",""
"FI","T","Y42","2011","71206","",""
"FI","T","Y43","2011","73281","",""
"FI","T","Y44","2011","73851","",""
"FI","T","Y45","2011","74163","",""
"FI","T","Y46","2011","75614","",""
"FI","T","Y47","2011","76545","",""
"FI","T","Y48","2011","75562","",""
"FI","T","Y49","2011","75193","",""
"FI","T","Y5","2011","58681","",""
"FI","T","Y50","2011","74926","",""
"FI","T","Y51","2011","74646","",""
"FI","T","Y52","2011","72275","",""
"FI","T","Y53","2011","75487","",""
"FI","T","Y54","2011","77523","",""
"FI","T","Y55","2011","76844","",""
"FI","T","Y56","2011","76909","",""
"FI","T","Y57","2011","75921","",""
"FI","T","Y58","2011","78585","",""
"FI","T","Y59","2011","75849","",""
"FI","T","Y6","2011","58858","",""
"FI","T","Y60","2011","78601","",""
"FI","T","Y61","2011","80718","",""
"FI","T","Y62","2011","82048","",""
"FI","T","Y63","2011","81350","",""
"FI","T","Y64","2011","78995","",""
"FI","T","Y65","2011","70149","",""
"FI","T","Y66","2011","55977","",""
"FI","T","Y67","2011","52887","",""
"FI","T","Y68","2011","42195","",""
"FI","T","Y69","2011","60789","",""
"FI","T","Y7","2011","57790","",""
"FI","T","Y70","2011","42918","",""
"FI","T","Y71","2011","49307","",""
"FI","T","Y72","2011","47084","",""
